startTime,nvr_x,pipelineID_x,nvr+pipelineID,endTime,nvr_y,pipelineID_y,run time(mins)
2021-08-20 15:34:04,e2e-container-test-product-container-8.0-2214.1629487635,fc25c57c-4803-45c4-b0bd-a17928952211,e2e-container-test-product-container-8.0-2214.1629487635fc25c57c-4803-45c4-b0bd-a17928952211,2021-08-20 15:38:04,e2e-container-test-product-container-8.0-2214.1629487635,fc25c57c-4803-45c4-b0bd-a17928952211,-4
2021-08-20 15:23:41,ose-network-tools-container-v4.9.0-202108201832.p0.git.ed0b846.assembly.stream,1edfb670-8f76-4abc-8044-6df7614aeb96,ose-network-tools-container-v4.9.0-202108201832.p0.git.ed0b846.assembly.stream1edfb670-8f76-4abc-8044-6df7614aeb96,2021-08-20 15:27:27,ose-network-tools-container-v4.9.0-202108201832.p0.git.ed0b846.assembly.stream,1edfb670-8f76-4abc-8044-6df7614aeb96,-3
2021-08-20 15:16:14,ubi9-micro-container-9.0.0beta-84,a259b799-931d-4699-94e1-1568e969be7d,ubi9-micro-container-9.0.0beta-84a259b799-931d-4699-94e1-1568e969be7d,2021-08-20 15:19:32,ubi9-micro-container-9.0.0beta-84,a259b799-931d-4699-94e1-1568e969be7d,-3
2021-08-20 15:11:11,ose-ovn-kubernetes-container-v4.9.0-202108201832.p0.git.10da475.assembly.stream,c4463c52-bcef-4b84-a20f-0b60af3a6839,ose-ovn-kubernetes-container-v4.9.0-202108201832.p0.git.10da475.assembly.streamc4463c52-bcef-4b84-a20f-0b60af3a6839,2021-08-20 15:15:01,ose-ovn-kubernetes-container-v4.9.0-202108201832.p0.git.10da475.assembly.stream,c4463c52-bcef-4b84-a20f-0b60af3a6839,-3
2021-08-20 15:07:14,openshift-enterprise-tests-container-v4.9.0-202108201832.p0.git.a31b3e7.assembly.stream,185c81af-5d12-4bc2-a0da-db9d377dac42,openshift-enterprise-tests-container-v4.9.0-202108201832.p0.git.a31b3e7.assembly.stream185c81af-5d12-4bc2-a0da-db9d377dac42,2021-08-20 15:11:02,openshift-enterprise-tests-container-v4.9.0-202108201832.p0.git.a31b3e7.assembly.stream,185c81af-5d12-4bc2-a0da-db9d377dac42,-3
2021-08-20 15:03:52,operator-lifecycle-manager-container-v4.9.0-202108201832.p0.git.b5600cf.assembly.stream,3321d150-f8b0-4b89-8bd7-8dc2bca203a0,operator-lifecycle-manager-container-v4.9.0-202108201832.p0.git.b5600cf.assembly.stream3321d150-f8b0-4b89-8bd7-8dc2bca203a0,2021-08-20 15:07:28,operator-lifecycle-manager-container-v4.9.0-202108201832.p0.git.b5600cf.assembly.stream,3321d150-f8b0-4b89-8bd7-8dc2bca203a0,-3
2021-08-20 15:03:43,ose-baremetal-runtimecfg-container-v4.9.0-202108201832.p0.git.066cf9f.assembly.stream,a4f66370-c975-49c4-a066-578dac7aa23d,ose-baremetal-runtimecfg-container-v4.9.0-202108201832.p0.git.066cf9f.assembly.streama4f66370-c975-49c4-a066-578dac7aa23d,2021-08-20 15:07:21,ose-baremetal-runtimecfg-container-v4.9.0-202108201832.p0.git.066cf9f.assembly.stream,a4f66370-c975-49c4-a066-578dac7aa23d,-3
2021-08-20 15:02:51,operator-registry-container-v4.9.0-202108201832.p0.git.b5600cf.assembly.stream,91ca7359-1d2a-4272-9b01-7e0ee51a52b6,operator-registry-container-v4.9.0-202108201832.p0.git.b5600cf.assembly.stream91ca7359-1d2a-4272-9b01-7e0ee51a52b6,2021-08-20 15:06:21,operator-registry-container-v4.9.0-202108201832.p0.git.b5600cf.assembly.stream,91ca7359-1d2a-4272-9b01-7e0ee51a52b6,-3
2021-08-20 15:01:31,cluster-monitoring-operator-container-v4.9.0-202108201832.p0.git.01b9e28.assembly.stream,56b6f6f8-5928-4c01-8eb8-8e8ba5162a2f,cluster-monitoring-operator-container-v4.9.0-202108201832.p0.git.01b9e28.assembly.stream56b6f6f8-5928-4c01-8eb8-8e8ba5162a2f,2021-08-20 15:05:29,cluster-monitoring-operator-container-v4.9.0-202108201832.p0.git.01b9e28.assembly.stream,56b6f6f8-5928-4c01-8eb8-8e8ba5162a2f,-3
2021-08-20 14:59:40,cpaas-test-operator-bundle-container-1.7.0-2081,45dc640f-dbd3-43b5-9c83-b42b6f27202b,cpaas-test-operator-bundle-container-1.7.0-208145dc640f-dbd3-43b5-9c83-b42b6f27202b,2021-08-20 15:02:52,cpaas-test-operator-bundle-container-1.7.0-2081,45dc640f-dbd3-43b5-9c83-b42b6f27202b,-3
2021-08-20 14:58:30,ose-azure-machine-controllers-container-v4.9.0-202108201832.p0.git.c689e78.assembly.stream,6034c7c4-e595-42ae-a4be-1ab88822da48,ose-azure-machine-controllers-container-v4.9.0-202108201832.p0.git.c689e78.assembly.stream6034c7c4-e595-42ae-a4be-1ab88822da48,2021-08-20 15:01:57,ose-azure-machine-controllers-container-v4.9.0-202108201832.p0.git.c689e78.assembly.stream,6034c7c4-e595-42ae-a4be-1ab88822da48,-3
2021-08-20 14:53:18,hco-bundle-registry-container-v4.9.0-131,ebe11984-54b5-4e95-afcb-593e3cd3df73,hco-bundle-registry-container-v4.9.0-131ebe11984-54b5-4e95-afcb-593e3cd3df73,2021-08-20 14:57:31,hco-bundle-registry-container-v4.9.0-131,ebe11984-54b5-4e95-afcb-593e3cd3df73,-4
2021-08-20 14:52:14,ironic-inspector-container-v4.5.0-202108201835.p0.git.0cdf732,ceec7f2c-5bac-4997-adee-d739164dd96c,ironic-inspector-container-v4.5.0-202108201835.p0.git.0cdf732ceec7f2c-5bac-4997-adee-d739164dd96c,2021-08-20 14:55:46,ironic-inspector-container-v4.5.0-202108201835.p0.git.0cdf732,ceec7f2c-5bac-4997-adee-d739164dd96c,-3
2021-08-20 14:48:36,codeready-workspaces-configbump-rhel8-container-2.12-3,8e7707d6-dfc6-40be-adc2-0830803b6fe5,codeready-workspaces-configbump-rhel8-container-2.12-38e7707d6-dfc6-40be-adc2-0830803b6fe5,2021-08-20 14:51:58,codeready-workspaces-configbump-rhel8-container-2.12-3,8e7707d6-dfc6-40be-adc2-0830803b6fe5,-3
